ㄅ CH_b-CH_@
ㄔㄨㄣ CH_ts`-CH_u-CH_@-CH_n#

ㄔㄨㄤ CH_ts`-CH_u-CH_a-CH_N#

ㄔㄨㄥ CH_ts`-CH_o-CH_N#

ㄕ CH_s`-CH_U`

ㄕㄚ CH_s`-CH_a

ㄕㄜ CH_s`-CH_@

ㄕㄞ CH_s`-CH_a-CH_i

ㄕㄟ CH_s`-CH_e-CH_i

ㄕㄠ CH_s`-CH_a-CH_u

ㄕㄡ CH_s`-CH_o-CH_u

ㄕㄢ CH_s`-CH_a-CH_n#

ㄕㄣ CH_s`-CH_@-CH_n#

ㄕㄤ CH_s`-CH_a-CH_N#

ㄕㄥ CH_s`-CH_@-CH_N#

ㄕㄨ CH_s`-CH_u

ㄕㄨㄚ CH_s`-CH_u-CH_a

ㄕㄨㄛ CH_s`-CH_u-CH_o

ㄕㄨㄞ CH_s`-CH_u-CH_a-CH_i

ㄕㄨㄟ CH_s`-CH_u-CH_e-CH_i

ㄕㄨㄢ CH_s`-CH_u-CH_a-CH_n#

ㄕㄨㄣ CH_s`-CH_u-CH_@-CH_n#

ㄕㄨㄤ CH_s`-CH_u-CH_a-CH_N#

ㄕㄨㄥ CH_s`-CH_o-CH_N#

ㄖ CH_Z`-CH_U`

ㄖㄜ CH_Z`-CH_@

ㄖㄠ CH_Z`-CH_a-CH_u

ㄖㄡ CH_Z`-CH_o-CH_u

ㄖㄢ CH_Z`-CH_a-CH_n#

ㄖㄣ CH_Z`-CH_@-CH_n#

ㄖㄤ CH_Z`-CH_a-CH_N#

ㄖㄥ CH_Z`-CH_@-CH_N#

ㄖㄨ CH_Z`-CH_u

ㄖㄨㄛ CH_Z`-CH_u-CH_o

ㄖㄨㄟ CH_Z`-CH_u-CH_e-CH_i

ㄖㄨㄢ CH_Z`-CH_u-CH_a-CH_n#

ㄖㄨㄣ CH_Z`-CH_u-CH_@-CH_n#

ㄖㄨㄥ CH_Z`-CH_o-CH_N#

ㄗ CH_dz-CH_U

ㄗㄚ CH_dz-CH_a

ㄗㄜ CH_dz-CH_@

ㄗㄞ CH_dz-CH_a-CH_i

ㄗㄟ CH_dz-CH_e-CH_i

ㄗㄠ CH_dz-CH_a-CH_u

ㄗㄡ CH_dz-CH_o-CH_u

ㄗㄢ CH_dz-CH_a-CH_n#

ㄗㄣ CH_dz-CH_@-CH_n#

ㄗㄤ CH_dz-CH_a-CH_N#

ㄗㄥ CH_dz-CH_@-CH_N#

ㄗㄨ CH_dz-CH_u

ㄗㄨㄛ CH_dz-CH_u-CH_o

ㄗㄨㄟ CH_dz-CH_u-CH_e-CH_i

ㄗㄨㄢ CH_dz-CH_u-CH_a-CH_n#

ㄗㄨㄣ CH_dz-CH_u-CH_@-CH_n#

ㄗㄨㄥ CH_dz-CH_o-CH_N#

ㄘ CH_ts-CH_U

ㄘㄚ CH_ts-CH_a

ㄘㄜ CH_ts-CH_@

ㄘㄞ CH_ts-CH_a-CH_i

ㄘㄠ CH_ts-CH_a-CH_u

ㄘㄡ CH_ts-CH_o-CH_u

ㄘㄢ CH_ts-CH_a-CH_n#

ㄘㄣ CH_ts-CH_@-CH_n#

ㄘㄤ CH_ts-CH_a-CH_N#

ㄘㄥ CH_ts-CH_@-CH_N#

ㄘㄨ CH_ts-CH_u

ㄘㄨㄛ CH_ts-CH_u-CH_o

ㄘㄨㄟ CH_ts-CH_u-CH_e-CH_i

ㄘㄨㄢ CH_ts-CH_u-CH_a-CH_n#

ㄘㄨㄣ CH_ts-CH_u-CH_@-CH_n#

ㄘㄨㄥ CH_ts-CH_o-CH_N#

ㄙ CH_s-CH_U

ㄙㄚ CH_s-CH_a

ㄙㄜ CH_s-CH_@

ㄙㄞ CH_s-CH_a-CH_i

ㄙㄟ CH_s-CH_e-CH_i

ㄙㄠ CH_s-CH_a-CH_u

ㄙㄡ CH_s-CH_o-CH_u

ㄙㄢ CH_s-CH_a-CH_n#

ㄙㄣ CH_s-CH_@-CH_n#

ㄙㄤ CH_s-CH_a-CH_N#

ㄙㄥ CH_s-CH_@-CH_N#

ㄙㄨ CH_s-CH_u

ㄙㄨㄛ CH_s-CH_u-CH_o

ㄙㄨㄟ CH_s-CH_u-CH_e-CH_i

ㄙㄨㄢ CH_s-CH_u-CH_a-CH_n#

ㄙㄨㄣ CH_s-CH_u-CH_@-CH_n#

ㄙㄨㄥ CH_s-CH_o-CH_N#

ㄚ CH_#-CH_a

ㄛ CH_#-CH_o

ㄜ CH_#-CH_@

ㄝ CH_#-CH_E

ㄞ CH_#-CH_a-CH_i

ㄟ CH_#-CH_e-CH_i

ㄠ CH_#-CH_a-CH_u

ㄡ CH_#-CH_o-CH_u

ㄢ CH_#-CH_a-CH_n#

ㄣ CH_#-CH_@-CH_n#

ㄤ CH_#-CH_a-CH_N#

ㄥ CH_#-CH_@-CH_N#

ㄦ CH_#-CH_@`

ㄧ CH_#-CH_i

ㄧㄚ CH_#-CH_i-CH_a

ㄧㄛ CH_#-CH_i-CH_o

ㄧㄝ CH_#-CH_i-CH_E

ㄧㄞ CH_#-CH_i-CH_a-CH_i

ㄧㄠ CH_#-CH_i-CH_a-CH_u

ㄧㄡ CH_#-CH_i-CH_o-CH_u

ㄧㄢ CH_#-CH_i-CH_E-CH_n#

ㄧㄣ CH_#-CH_i-CH_n#

ㄧㄤ CH_#-CH_i-CH_a-CH_N#

ㄧㄥ CH_#-CH_i-CH_N#

ㄨ CH_#-CH_u

ㄨㄚ CH_#-CH_u-CH_a

ㄨㄛ CH_#-CH_u-CH_o

ㄨㄞ CH_#-CH_u-CH_a-CH_i

ㄨㄟ CH_#-CH_u-CH_e-CH_i

ㄨㄢ CH_#-CH_u-CH_a-CH_n#

ㄨㄣ CH_#-CH_u-CH_@-CH_n#

ㄨㄤ CH_#-CH_u-CH_a-CH_N#

ㄨㄥ CH_#-CH_u-CH_o-CH_N#

ㄩ CH_#-CH_y

ㄩㄝ CH_#-CH_y-CH_E

ㄩㄢ CH_#-CH_y-CH_E-CH_n#

ㄩㄣ CH_#-CH_y-CH_n#

ㄩㄥ CH_#-CH_y-CH_o-CH_N#
